, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
1601,성북4,성북, 성북구 보국문로16길 10,서울정수초,5 ,50 ,45 ,35 ,정릉힐스테이트3차,준신축,2008 ,중단지,522 ,계단식,3 ,2 ,25 ,80500 ,73000 ,45000 ,-9%,,,0.62 ,28000 
2326,중랑3,중랑, 중랑구 망우로73길 36,망우초등학교,5 ,55 ,60 ,45 ,망우 중랑숲리가,준신축,2012 ,소단지,381 ,계단식,3 ,2 ,33 ,85000 ,74000 ,55000 ,-13%,,,0.74 ,19000 
737,노원2,노원,노원구 노원로 252,서울골든초,4 ,48 ,58 ,41 ,하계 청구,구축,1988 ,중단지,660 ,계단식,3 ,1 ,25 ,89500 ,75000 ,36700 ,-16%,,,0.49 ,38300 
771,노원2,노원, 노원구 노원로 495,서울상계초,3 ,48 ,60 ,40 ,상계 주공7,구축,1988 ,대단지,2634 ,복도식,2 ,1 ,24 ,86500 ,75000 ,28000 ,-13%,,,0.37 ,47000 
799,도봉1,도봉, 도봉구 노해로 391,서울자운초,3 ,47 ,59 ,42 ,창동 동아청솔,구축,1997 ,대단지,1981 ,복도식,2 ,1 ,24 ,88800 ,75000 ,38000 ,-16%,,,0.51 ,37000 
806,도봉3,도봉, 도봉구 시루봉로 58,서울숭미초,6 ,62 ,74 ,55 ,쌍문 삼성래미안,준신축,2002 ,소단지,407 ,계단식,3 ,2 ,33 ,84500 ,75000 ,42000 ,-11%,,,0.56 ,33000 
808,도봉3,도봉, 도봉구 시루봉로 70,서울숭미초,5 ,60 ,72 ,53 ,쌍문 북한산코오롱하늘채,준신축,2014 ,소단지,293 ,계단식,3 ,2 ,33 ,87800 ,75000 ,48000 ,-15%,,,0.64 ,27000 
1270,서대문4,서대문, 서대문구 세검정로 10,서울홍은초,7 ,55 ,38 ,25 ,홍은벽산,구축,1997 ,대단지,1329 ,계단식,3 ,2 ,33 ,87300 ,75000 ,45000 ,-14%,,,0.60 ,30000 
1606,성북3,성북, 성북구 보국문로16길 65,서울정수초,4 ,52 ,45 ,35 ,정릉푸르지오,준신축,2005 ,소단지,403 ,계단식,3 ,1 ,25 ,82000 ,75000 ,42000 ,-9%,,,0.56 ,33000 
2158,은평3,은평, 은평구 응암로 333,응암초등학교,8 ,55 ,40 ,30 ,응암 백련산파크자이,신축,2021 ,중단지,678 ,계단식,2 ,1 ,21 ,75000 ,75000 ,42000 ,0%,,,0.56 ,33000 
2202,은평1,은평, 은평구 수색로18길 19,수색초등학교,12 ,55 ,30 ,35 ,수색 E편한세상수색에코포레,준신축,2003 ,중단지,976 ,계단식,3 ,2 ,32 ,92000 ,75000 ,53000 ,-18%,,,0.71 ,22000 
2261,종로4,종로, 종로구 창신6길 21,창신초등학교,5 ,45 ,40 ,20 ,창신쌍용1,구축,1992 ,중단지,585 ,복도식,2 ,1 ,21 ,74500 ,75000 ,35000 ,1%,,,0.47 ,40000 
